YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2042,Lake Sebu,1206319000,259.200000,0.000000,1017.225000,0.270105,0.400000,0,0
2042,Norala,1206311000,200.028000,0.000000,775.250000,0.137524,0.212000,0,0
2042,Polomolok,1206312000,688.156000,0.000000,2312.775000,0.330913,0.476000,106,0
2042,Santo Niño,1206318000,151.808000,0.000000,580.175000,0.185433,0.344000,0,0
2042,Surallah,1206313000,482.980000,0.000000,1643.225000,0.190157,0.304000,65,0
2042,T'Boli,1206316000,375.028000,0.000000,1440.300000,0.285293,0.436000,0,0
2042,Tampakan,1206314000,206.300000,0.000000,791.700000,0.187262,0.328000,0,0
2042,Tantangan,1206315000,54.276000,0.000000,327.525000,0.083846,0.204000,0,0
2042,Tupi,1206317000,212.300000,0.000000,810.600000,0.030911,0.180000,0,0
2043,Banga,1206302000,366.052000,0.000000,1396.300000,0.213848,0.384000,0,0
2043,City of Koronadal,1206306000,106.712000,0.000000,650.150000,0.063296,0.188000,0,0
2043,Lake Sebu,1206319000,260.940000,0.000000,1041.250000,0.272298,0.384000,0,0
2043,Norala,1206311000,197.436000,0.000000,784.700000,0.133881,0.224000,0,0
2043,Polomolok,1206312000,681.068000,0.000000,2308.575000,0.325348,0.468000,91,0
2043,Santo Niño,1206318000,148.728000,0.000000,582.175000,0.180100,0.304000,0,0
2043,Surallah,1206313000,485.500000,0.000000,1681.050000,0.192235,0.332000,52,0
2043,T'Boli,1206316000,374.900000,0.000000,1449.750000,0.284013,0.408000,0,0
2043,Tampakan,1206314000,207.884000,0.000000,809.350000,0.188167,0.344000,0,0
2043,Tantangan,1206315000,53.716000,0.000000,324.050000,0.083897,0.216000,0,0
2043,Tupi,1206317000,214.804000,0.000000,846.925000,0.031022,0.160000,0,0
2044,Banga,1206302000,366.980000,0.000000,1405.950000,0.214848,0.372000,0,0
2044,City of Koronadal,1206306000,106.156000,0.000000,655.025000,0.063877,0.200000,0,0
2044,Lake Sebu,1206319000,257.444000,0.000000,1033.900000,0.268439,0.400000,0,0
2044,Norala,1206311000,198.716000,0.000000,791.550000,0.137667,0.216000,0,0
2044,Polomolok,1206312000,676.096000,0.000000,2350.025000,0.321362,0.460000,109,0
2044,Santo Niño,1206318000,150.148000,0.000000,582.275000,0.182067,0.328000,0,0
2044,Surallah,1206313000,474.960000,0.000000,1662.600000,0.186294,0.316000,86,0
2044,T'Boli,1206316000,373.692000,0.000000,1462.075000,0.282813,0.444000,0,0
2044,Tampakan,1206314000,207.048000,0.000000,822.475000,0.186905,0.340000,0,0
2044,Tantangan,1206315000,53.660000,0.000000,322.950000,0.082692,0.176000,0,0
